"Project name","Trust-tours"
"Date range","07/14/2026 00:00 - 08/10/2026 23:59"


"Total sessions","13"

"Date","Time","Session duration","Entry URL","Exit URL","Referrer:","Clarity user ID","Browser","Device","OS","Country","Page count","Session clicks","Favourite","Recording link"
"08/10/2026","07:44","02:06","https://www.trusttourstz.com/","https://www.trusttourstz.com/","","vn7hsp","Chrome","PC","Windows","Tanzania","2","6","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/vn7hsp/1f3v2yb/?ss=1786337092000&sd=126"
"08/10/2026","11:17","00:21","https://www.trusttourstz.com/","https://www.trusttourstz.com/","https://www.google.com/","wih533","Chrome","PC","Windows","Singapore","3","1","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/wih533/yf8jql/?ss=1786349851000&sd=21"
"08/10/2026","15:56","08:39","https://www.trusttourstz.com/","https://www.trusttourstz.com/kilimanjaro/groups","","11ybo6c","Chrome","PC","Windows","Tanzania","2","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/11ybo6c/1dgscsl/?ss=1786366610000&sd=519"
"08/10/2026","11:27","00:47","https://www.trusttourstz.com/safaris","https://www.trusttourstz.com/safaris","","z1pa02","Chrome","PC","Windows","United States","1","0","TRUE","https://clarity.microsoft.com/player/y00vg5qobz/z1pa02/to87qc/?ss=1786350447000&sd=47"
"08/10/2026","09:34","02:00:57","https://www.trusttourstz.com/guides/kilimanjaro-packing-list","https://www.trusttourstz.com/guides/kilimanjaro-packing-list","","1yvzvse","Chrome","PC","Windows","Tanzania","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/1yvzvse/1vlcssf/?ss=1786343652000&sd=7257"
"08/10/2026","10:31","00:24","https://www.trusttourstz.com/zanzibar","https://www.trusttourstz.com/zanzibar","","up53nd","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/up53nd/7lno61/?ss=1786347111000&sd=24"
"08/10/2026","11:27","00:42","https://www.trusttourstz.com/honeymoon","https://www.trusttourstz.com/honeymoon","","1yy4gwt","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/1yy4gwt/183lji1/?ss=1786350447000&sd=42"
"08/10/2026","10:06","00:31","https://www.trusttourstz.com/honeymoon","https://www.trusttourstz.com/honeymoon","","1vle0mp","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/1vle0mp/1xe3ham/?ss=1786345602000&sd=31"
"08/10/2026","10:06","00:32","https://www.trusttourstz.com/safaris","https://www.trusttourstz.com/safaris","","1vle0mp","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/1vle0mp/vdh8d7/?ss=1786345602000&sd=32"
"08/10/2026","10:09","04:07","https://www.trusttourstz.com/about-us-3","https://www.trusttourstz.com/about-us-3","","zqahme","Chrome","PC","Windows","Bangladesh","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/zqahme/18i43ac/?ss=1786345767000&sd=247"
"08/10/2026","11:26","00:18","https://www.trusttourstz.com/tanzania-safar","https://www.trusttourstz.com/tanzania-safar","","dbcfyn","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/dbcfyn/1e6cowe/?ss=1786350368000&sd=18"
"08/10/2026","10:05","00:17","https://www.trusttourstz.com/trekkin","https://www.trusttourstz.com/trekkin","","1ieux22","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/1ieux22/qh0ena/?ss=1786345516000&sd=17"
"08/10/2026","10:06","00:17","https://www.trusttourstz.com/zanzibar","https://www.trusttourstz.com/zanzibar","","1vle0mp","Chrome","PC","Windows","United States","1","0","FALSE","https://clarity.microsoft.com/player/y00vg5qobz/1vle0mp/7dwcz9/?ss=1786345602000&sd=17"
